Rank,Player,High School,Position,Height / Weight,Rating
1,Anthony Edwards,N/A,SG,6-5 / 215,100
2,James Wiseman,N/A,C,7-0 / 210,100
3,Cole Anthony,N/A,CG,6-3 / 185,100
4,Isaiah Stewart,N/A,C,6-9 / 245,99
5,RJ Hampton,N/A,CG,6-5 / 185,99
6,Vernon Carey,N/A,C,6-10 / 275,99
7,Scottie Lewis,N/A,SF,6-5 / 185,99
8,Nico Mannion,N/A,PG,6-3 / 180,99
9,Precious Achiuwa,N/A,SF,6-9 / 215,99
10,Tyrese Maxey,N/A,CG,6-3 / 185,99
11,Kahlil Whitney,N/A,SF,6-6 / 190,99
12,Tre Mann,N/A,PG,6-3 / 170,99
13,Jaden McDaniels,N/A,PF,6-9 / 185,99
14,Keion Brooks,N/A,SF,6-7 / 185,99
15,N'Faly Dante,N/A,C,6-11 / 230,99
16,Samuell Williamson,N/A,SF,6-6 / 180,99
17,Matthew Hurt,N/A,PF,6-9 / 215,98
18,Josh Green,N/A,SF,6-6 / 190,98
19,Jeremiah Robinson-Earl,N/A,PF,6-8 / 235,98
20,Trendon Watford,N/A,PF,6-9 / 230,98
21,Bryan Antoine,N/A,SG,6-4.5 / 168,98
22,Akok Akok,N/A,PF,6-10 / 195,98
23,Oscar Tshiebwe,N/A,C,6-9 / 250,98
24,Isaiah Mobley,N/A,PF,6-9 / 220,98
25,CJ Walker,N/A,PF,6-8 / 200,97
26,LaMelo Ball,N/A,PG,6-6 / 180,97
27,Onyeka Okongwu,N/A,C,6-8 / 235,97
28,Trayce Jackson-Davis,N/A,C,6-9 / 230,97
29,Josiah-Jordan James,N/A,CG,6-6 / 200,97
30,Patrick Williams,N/A,SF,6-6 / 215,97
31,Johnny Juzang,N/A,SF,6-6 / 200,97
32,DJ Carton,N/A,PG,6-1 / 190,97
33,Boogie Ellis,N/A,CG,6-2 / 165,97
34,Armando Bacot,N/A,C,6-10 / 240,97
35,Cassius Stanley,N/A,SG,6-5 / 180,97
36,Will Baker,N/A,C,7-0 / 235,97
37,Isaac Okoro,N/A,SF,6-5 / 200,97
38,Wendell Moore,N/A,SF,6-5 / 210,97
39,Rocket Watts,N/A,CG,6-2 / 175,97
40,Zeke Nnaji,N/A,PF,6-11 / 215,97
41,Anton Watson,N/A,SF,6-8 / 210,97
42,Jahmi'us Ramsey,N/A,CG,6-4 / 195,97
43,Franz Wagner,N/A,SF,6-7 / 190,97
44,Jalen Lecque,N/A,CG,6-4 / 190,97
45,Martynas Arlauskas,N/A,SF,6-6 / 185,96
46,Jalen Wilson,N/A,SF,6-8 / 215,96
47,Pavel Zakharov,N/A,C,6-10 / 235,96
48,Omar Payne,N/A,C,6-9 / 215,96
49,Kai Jones,N/A,C,6-10 / 205,96
50,Casey Morsell,N/A,SG,6-2 / 175,96
51,Lester Quinones,N/A,SG,6-5 / 180,96
52,De'Vion Harmon,N/A,PG,6-0 / 192,96
53,James Bouknight,N/A,SG,6-4 / 180,96
54,Kofi Cockburn,N/A,C,6-10 / 290,96
55,Tristan Enaruna,N/A,SF,6-9 / 205,96
56,Addison Patterson,N/A,SG,6-6 / 180,96
57,Drew Timme,N/A,C,6-10 / 235,96
58,Justin Moore,N/A,SG,6-4 / 200,96
59,Robbie Beran,N/A,PF,6-9 / 210,96
60,EJ Liddell,N/A,PF,6-6 / 220,96
61,Santiago Aldama,N/A,PF,6-10 / 205,96
62,Aidan Igiehon,N/A,C,6-10 / 235,96
